time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0], fft_wrapper:inst|imag_power[17], fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1108,0,0,1,10000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,-20,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0, 
1109,0,0,1,10011,0,0,0,0,0,0,0,1,0,0,1,1,0,0,126,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,169,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1, 
1110,0,0,1,10101,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-179,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1, 
1111,0,0,1,11000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-105,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,-81,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1, 
1112,0,0,1,11011,0,0,0,0,0,0,0,1,1,0,1,1,0,0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-99,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1, 
1113,0,0,1,11101,0,0,0,0,0,0,0,1,1,1,0,1,0,0,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,48,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0, 
1114,0,0,1,100001,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-37,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,183,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1, 
1115,0,0,1,100100,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-122,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0, 
1116,0,0,1,100111,0,0,0,0,0,0,1,0,0,1,1,1,0,0,-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,-224,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0, 
1117,0,0,1,101011,0,0,0,0,0,0,1,0,1,0,1,1,0,0,200,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1, 
1118,0,0,1,101110,0,0,0,0,0,0,1,0,1,1,1,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,191,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1, 
1119,0,0,1,110010,0,0,0,0,0,0,1,1,0,0,1,0,0,0,-214,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, 
1120,0,0,1,110110,0,0,0,0,0,0,1,1,0,1,1,0,0,0,-93,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,-181,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1, 
1121,0,0,1,111010,0,0,0,0,0,0,1,1,1,0,1,0,0,0,183,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,-72,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0, 
1122,0,0,1,111110,0,0,0,0,0,0,1,1,1,1,1,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,113,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1, 
1123,0,0,1,1000011,0,0,0,0,0,1,0,0,0,0,1,1,0,0,-157,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,126,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0, 
1124,0,0,1,1000111,0,0,0,0,0,1,0,0,0,1,1,1,0,0,-99,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,-67,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1, 
1125,0,0,1,1001100,0,0,0,0,0,1,0,0,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-130,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0, 
1126,0,0,1,1010000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0, 
1127,0,0,1,1010101,0,0,0,0,0,1,0,1,0,1,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,200,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0, 
1128,0,0,1,1011010,0,0,0,0,0,1,0,1,1,0,1,0,0,0,-176,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
1129,0,0,1,1100000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-40,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,-188,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0, 
1130,0,0,1,1100101,0,0,0,0,0,1,1,0,0,1,0,1,0,0,244,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,-32,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0, 
1131,0,0,1,1101010,0,0,0,0,0,1,1,0,1,0,1,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1, 
1132,0,0,1,1110000,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-206,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0, 
1133,0,0,1,1110110,0,0,0,0,0,1,1,1,0,1,1,0,0,0,-53,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,-158,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0, 
1134,0,0,1,1111011,0,0,0,0,0,1,1,1,1,0,1,1,0,0,147,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,-136,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0, 
1135,0,0,1,10000001,0,0,0,0,1,0,0,0,0,0,0,1,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,103,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1, 
1136,0,0,1,10001000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-73,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0, 
1137,0,0,1,10001110,0,0,0,0,1,0,0,0,1,1,1,0,0,0,-153,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,-76,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0, 
1138,0,0,1,10010100,0,0,0,0,1,0,0,1,0,1,0,0,0,0,-29,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,-149,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1, 
1139,0,0,1,10011011,0,0,0,0,1,0,0,1,1,0,1,1,0,0,180,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0, 
1140,0,0,1,10100001,0,0,0,0,1,0,1,0,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,173,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1, 
1141,0,0,1,10101000,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-214,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0, 
1142,0,0,1,10101111,0,0,0,0,1,0,1,0,1,1,1,1,0,0,-36,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,-157,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1, 
1143,0,0,1,10110110,0,0,0,0,1,0,1,1,0,1,1,0,0,0,221,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,-85,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1, 
1144,0,0,1,10111101,0,0,0,0,1,0,1,1,1,1,0,1,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,183,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1, 
1145,0,0,1,11000100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-147,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1, 
1146,0,0,1,11001100,0,0,0,0,1,1,0,0,1,1,0,0,0,0,-61,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,-168,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0, 
1147,0,0,1,11010011,0,0,0,0,1,1,0,1,0,0,1,1,0,0,83,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,-128,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, 
1148,0,0,1,11011011,0,0,0,0,1,1,0,1,1,0,1,1,0,0,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,87,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1, 
1149,0,0,1,11100010,0,0,0,0,1,1,1,0,0,0,1,0,0,0,-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,103,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1, 
1150,0,0,1,11101010,0,0,0,0,1,1,1,0,1,0,1,0,0,0,-196,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,-34,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0, 
1151,0,0,1,11110010,0,0,0,0,1,1,1,1,0,0,1,0,0,0,-25,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,-154,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0, 
1152,0,0,1,11111010,0,0,0,0,1,1,1,1,1,0,1,0,0,0,197,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,-60,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0, 
1153,0,0,1,100000011,0,0,0,1,0,0,0,0,0,0,1,1,0,0,-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,202,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0, 
1154,0,0,1,100001011,0,0,0,1,0,0,0,0,1,0,1,1,0,0,-209,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,105,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1, 
1155,0,0,1,100010011,0,0,0,1,0,0,0,1,0,0,1,1,0,0,-55,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,-193,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1, 
1156,0,0,1,100011100,0,0,0,1,0,0,0,1,1,1,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,-86,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0, 
1157,0,0,1,100100100,0,0,0,1,0,0,1,0,0,1,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,178,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0, 
1158,0,0,1,100101101,0,0,0,1,0,0,1,0,1,1,0,1,0,0,-87,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0, 
1159,0,0,1,100110110,0,0,0,1,0,0,1,1,0,1,1,0,0,0,-126,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,-114,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0, 
1160,0,0,1,100111111,0,0,0,1,0,0,1,1,1,1,1,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,-98,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0, 
1161,0,0,1,101001000,0,0,0,1,0,1,0,0,1,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, 
1162,0,0,1,101010001,0,0,0,1,0,1,0,1,0,0,0,1,0,0,-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,125,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1, 
1163,0,0,1,101011010,0,0,0,1,0,1,0,1,1,0,1,0,0,0,-181,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1, 
1164,0,0,1,101100100,0,0,0,1,0,1,1,0,0,1,0,0,0,0,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-209,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1, 
1165,0,0,1,101101101,0,0,0,1,0,1,1,0,1,1,0,1,0,0,159,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,-89,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1, 
1166,0,0,1,101110111,0,0,0,1,0,1,1,1,0,1,1,1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1, 
1167,0,0,1,110000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-173,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1, 
1168,0,0,1,110001010,0,0,0,1,1,0,0,0,1,0,1,0,0,0,-124,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,-199,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1, 
1169,0,0,1,110010100,0,0,0,1,1,0,0,1,0,1,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-73,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1, 
1170,0,0,1,110011110,0,0,0,1,1,0,0,1,1,1,1,0,0,0,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1, 
1171,0,0,1,110101000,0,0,0,1,1,0,1,0,1,0,0,0,0,0,-106,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,106,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0, 
1172,0,0,1,110110010,0,0,0,1,1,0,1,1,0,0,1,0,0,0,-147,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0, 
1173,0,0,1,110111100,0,0,0,1,1,0,1,1,1,1,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-129,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1, 
1174,0,0,1,111000110,0,0,0,1,1,1,0,0,0,1,1,0,0,0,167,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,-32,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0, 
1175,0,0,1,111010001,0,0,0,1,1,1,0,1,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,197,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1, 
1176,0,0,1,111011011,0,0,0,1,1,1,0,1,1,0,1,1,0,0,-142,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0, 
1177,0,0,1,111100101,0,0,0,1,1,1,1,0,0,1,0,1,0,0,-57,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,-242,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0, 
1178,0,0,1,111110000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,-77,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1, 
1179,0,0,1,111111011,0,0,0,1,1,1,1,1,1,0,1,1,0,0,119,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,181,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1, 
1180,0,0,1,1000000101,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-177,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1, 
1181,0,0,1,1000010000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-156,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,-124,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0, 
1182,0,0,1,1000011011,0,0,1,0,0,0,0,1,1,0,1,1,0,0,127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-101,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1, 
1183,0,0,1,1000100110,0,0,1,0,0,0,1,0,0,1,1,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0, 
1184,0,0,1,1000110001,0,0,1,0,0,0,1,1,0,0,0,1,0,0,-93,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,156,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0, 
1185,0,0,1,1000111100,0,0,1,0,0,0,1,1,1,1,0,0,0,0,-148,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, 
1186,0,0,1,1001000111,0,0,1,0,0,1,0,0,0,1,1,1,0,0,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,-180,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0, 
1187,0,0,1,1001010010,0,0,1,0,0,1,0,1,0,0,1,0,0,0,152,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0, 
1188,0,0,1,1001011110,0,0,1,0,0,1,0,1,1,1,1,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,219,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1, 
1189,0,0,1,1001101001,0,0,1,0,0,1,1,0,1,0,0,1,0,0,-147,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1, 
1190,0,0,1,1001110100,0,0,1,0,0,1,1,1,0,1,0,0,0,0,-106,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,-183,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1, 
1191,0,0,1,1010000000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,-81,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1, 
1192,0,0,1,1010001011,0,0,1,0,1,0,0,0,1,0,1,1,0,0,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0, 
1193,0,0,1,1010010111,0,0,1,0,1,0,0,1,0,1,1,1,0,0,-189,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1, 
1194,0,0,1,1010100010,0,0,1,0,1,0,1,0,0,0,1,0,0,0,-102,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,-98,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0, 
1195,0,0,1,1010101110,0,0,1,0,1,0,1,0,1,1,1,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,-168,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0, 
1196,0,0,1,1010111001,0,0,1,0,1,0,1,1,1,0,0,1,0,0,93,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1, 
1197,0,0,1,1011000101,0,0,1,0,1,1,0,0,0,1,0,1,0,0,-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,170,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0, 
1198,0,0,1,1011010001,0,0,1,0,1,1,0,1,0,0,0,1,0,0,-160,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0, 
1199,0,0,1,1011011101,0,0,1,0,1,1,0,1,1,1,0,1,0,0,-97,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,-173,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1, 
1200,0,0,1,1011101001,0,0,1,0,1,1,1,0,1,0,0,1,0,0,184,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,-28,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0, 
1201,0,0,1,1011110101,0,0,1,0,1,1,1,1,0,1,0,1,0,0,95,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,191,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1, 
1202,0,0,1,1100000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-212,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,103,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1, 
1203,0,0,1,1100001100,0,0,1,1,0,0,0,0,1,1,0,0,0,0,-87,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,-129,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1, 
1204,0,0,1,1100011000,0,0,1,1,0,0,0,1,1,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,-126,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0, 
1205,0,0,1,1100100100,0,0,1,1,0,0,1,0,0,1,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0, 
1206,0,0,1,1100110000,0,0,1,1,0,0,1,1,0,0,0,0,0,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,148,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0, 
1207,0,0,1,1100111101,0,0,1,1,0,0,1,1,1,1,0,1,0,0,-97,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,-97,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1, 
1208,0,0,1,1101001001,0,0,1,1,0,1,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-171,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1, 
1209,0,0,1,1101010101,0,0,1,1,0,1,0,1,0,1,0,1,0,0,143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0, 
1210,0,0,1,1101100001,0,0,1,1,0,1,1,0,0,0,0,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0, 
1211,0,0,1,1101101101,0,0,1,1,0,1,1,0,1,1,0,1,0,0,-213,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0, 
1212,0,0,1,1101111001,0,0,1,1,0,1,1,1,1,0,0,1,0,0,-99,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,-156,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0, 
